,moves
0,"why in chess game, player took the following move - d4"
1,"why in chess game, player took the following move - d4 d5"
2,"why in chess game, player took the following move - d4 d5 c4"
3,"why in chess game, player took the following move - d4 d5 c4 c6"
4,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5"
5,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6"
6,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6"
7,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6"
8,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3"
9,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+"
10,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+ Nc3"
11,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+ Nc3 Ba5"
12,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+ Nc3 Ba5 Bf4"
13,"why in chess game, player took the following move - d4"
14,"why in chess game, player took the following move - d4 d5"
15,"why in chess game, player took the following move - d4 d5 c4"
16,"why in chess game, player took the following move - d4 d5 c4 c6"
17,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5"
18,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6"
19,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6"
20,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6"
21,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3"
22,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+"
23,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+ Nc3"
24,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+ Nc3 Ba5"
25,"why in chess game, player took the following move - d4 d5 c4 c6 cxd5 e6 dxe6 fxe6 Nf3 Bb4+ Nc3 Ba5 Bf4"
26,"why in chess game, player took the following move - d4"
27,"why in chess game, player took the following move - d4 Nc6"
28,"why in chess game, player took the following move - d4 Nc6 e4"
29,"why in chess game, player took the following move - d4 Nc6 e4 e5"
30,"why in chess game, player took the following move - d4 Nc6 e4 e5 f4"
31,"why in chess game, player took the following move - d4 Nc6 e4 e5 f4 f6"
32,"why in chess game, player took the following move - d4 Nc6 e4 e5 f4 f6 dxe5"
